id,kode,tahun,PER,PBR,ROE,DER,DPR,Target
434,ASJT,2019,58.35,0.34,0.57,0.44,0,1
437,LPPS,2019,0,0,0,0,0,0
440,KREN,2019,0,0,0,0,0,0
443,ASPI,2019,0,0,0,0,0,0
446,JGLE,2019,0,0,0,0,0,0
449,NASA,2019,0,0,0,0,0,0
452,NZIA,2019,421.38,3.65,0,4.18,1,10
455,ASMI,2019,0,0,0,0,0,0
458,PUDP,2019,22.7,0.29,0.84,4.07,1,2
461,BIPP,2019,0,0,0,0,0,0
464,KOTA,2019,0,0,0,0,0,0
467,PADI,2019,0,0,0,0,0,0
470,MINA,2019,0,0,0,0,0,0
473,TRUE,2019,0,0,0,0,0,0
476,RELF,2019,0,0,0,0,0,0
477,IPAC,2019,0,0,0,0,0,0
480,AKSI,2019,0,0,0,0,0,0
483,KBAG,2019,0,0,50.79,1.16,0,1
486,BCIP,2019,0,0,0,0,0,0
489,CSIS,2019,0,0,0,0,0,0
492,ATAP,2019,0,0,24.85,2.11,0,1
495,JMAS,2019,0,0,0,0,0,0
498,TARA,2019,0,0,0,0,0,0
501,REAL,2019,0,0,0,0,0,0
504,DADA,2019,0,0,0,0,0,0
507,POLA,2019,0,0,0,0,0,0
510,BIKA,2019,0,0,0,0,0,0
513,MGNA,2019,0,0,0,0,0,0
516,WIDI,2019,0,0,0,0,0,0
517,MTSM,2019,0,0,0,0,0,0
520,HDIT,2019,0,0,0,0,0,0
523,IBFN,2019,0,0,0,0,0,0
